order_id,order_date,region,category,sales_channel,quantity,unit_price,gross_sales,discount,net_sales
1,2024-10-25,North,Clothing,Marketplace,13.0,499.98,6499.74,0.33,4354.8258
2,2023-03-02,Central,Clothing,Marketplace,-1.0,8.56,-8.56,0.24,-6.5056
3,2024-04-05,West,Clothing,Marketplace,7.0,646.65,4526.55,0.12,3983.364
4,2023-07-05,South,Clothing,Marketplace,-1.0,548.79,-548.79,0.34,-362.2013999999999
5,2023-09-21,Central,Clothing,Online,-2.0,158.28,-316.56,0.08,-291.2352
6,2023-12-25,West,Beauty,Store,3.0,82.39,247.17000000000002,0.07,229.8681
7,2023-03-28,East,Electronics,Store,9.0,571.91,5147.19,0.32,3500.0891999999994
8,2023-05-10,North,Beauty,Online,9.0,334.91,3014.19,0.27,2200.3586999999998
9,2023-02-18,North,Electronics,Store,13.0,35.19,457.46999999999997,0.34,301.93019999999996
10,2023-05-23,Central,Sports,Marketplace,7.0,410.54,2873.78,0.29,2040.3838
11,2023-05-28,South,Beauty,Marketplace,-2.0,526.6,-1053.2,0.19,-853.0920000000001
12,2024-06-26,North,Home,Marketplace,10.0,178.23,1782.3,0.15,1514.955
13,2024-07-02,East,Sports,Store,4.0,465.99,1863.96,0.15,1584.366
14,2023-05-06,West,Home,Store,1.0,331.13,331.13,0.24,251.6588
15,2023-12-10,Central,Home,Marketplace,-1.0,,,0.18,
16,2023-04-28,South,Beauty,Online,7.0,534.24,3739.6800000000003,0.0,3739.6800000000003
17,2023-01-21,West,Beauty,Store,-2.0,129.97,-259.94,0.05,-246.94299999999998
18,2024-09-08,South,Sports,Online,9.0,145.56,1310.04,0.2,1048.032
19,2023-04-01,North,Electronics,Marketplace,0.0,161.92,0.0,0.05,0.0
20,2024-04-08,North,Beauty,Marketplace,6.0,6.47,38.82,0.09,35.3262
21,2023-02-13,South,Clothing,Online,-2.0,37.2,-74.4,0.29,-52.824
22,2023-11-05,West,Home,Store,6.0,95.67,574.02,0.34,378.85319999999996
23,2023-04-30,West,Clothing,Online,6.0,278.17,1669.02,,
24,2023-11-20,Central,Clothing,Store,,505.96,,0.13,
25,2024-01-23,East,Home,Store,5.0,508.26,2541.3,0.18,2083.8660000000004
26,2024-11-20,East,Clothing,Store,4.0,618.18,2472.72,0.16,2077.0847999999996
27,2024-07-18,Central,Clothing,Store,,503.77,,0.34,
28,2024-04-01,East,Sports,Marketplace,12.0,401.29,4815.4800000000005,0.13,4189.4676
29,2023-04-29,Central,Sports,Store,10.0,415.87,4158.7,0.34,2744.7419999999997
30,2024-06-06,South,Beauty,Store,,59.65,,0.09,
31,2024-03-18,North,Clothing,Marketplace,-2.0,435.96,-871.92,0.02,-854.4816
32,2024-09-28,North,Electronics,Marketplace,3.0,81.22,243.66,0.22,190.0548
33,2024-01-04,,Home,Store,14.0,524.8,7347.199999999999,0.16,6171.647999999999
34,2024-10-11,South,Electronics,Online,11.0,448.27,4930.969999999999,0.04,4733.731199999999
35,2023-03-09,West,Home,Marketplace,12.0,446.05,5352.6,0.12,4710.2880000000005
36,2024-01-30,South,Sports,Marketplace,3.0,628.37,1885.1100000000001,0.03,1828.5567
37,2024-12-25,Central,Beauty,Online,3.0,147.97,443.90999999999997,0.29,315.17609999999996
38,2023-05-02,Central,Clothing,Marketplace,14.0,213.07,2982.98,0.28,2147.7455999999997
39,2023-11-22,East,Clothing,Marketplace,6.0,481.83,2890.98,0.01,2862.0702
40,2023-04-23,,Sports,Store,3.0,-20.66,-61.980000000000004,0.24,-47.104800000000004
41,2024-04-17,South,Home,Online,3.0,252.05,756.1500000000001,0.31,521.7435
42,2024-08-08,South,Clothing,Store,9.0,85.1,765.9,0.24,582.084
43,2024-10-01,Central,Sports,Store,9.0,560.43,5043.87,0.12,4438.6056
44,2023-02-07,South,Clothing,Marketplace,-1.0,216.14,-216.14,0.26,-159.94359999999998
45,2024-02-11,West,Home,Marketplace,12.0,360.84,4330.08,0.08,3983.6736
46,2024-09-07,Central,Home,Store,12.0,444.38,5332.5599999999995,0.01,5279.234399999999
47,2024-05-03,Central,Clothing,Online,9.0,339.69,3057.21,0.24,2323.4796
48,2023-09-17,Central,Beauty,Online,1.0,48.25,48.25,0.1,43.425000000000004
49,2024-10-20,South,Home,Marketplace,-1.0,360.97,-360.97,0.07,-335.70210000000003
50,2024-06-19,Central,Beauty,Store,2.0,477.91,955.82,0.17,793.3306
51,2024-08-20,West,Home,Store,-1.0,558.89,-558.89,0.13,-486.23429999999996
52,2024-03-02,North,Clothing,Marketplace,6.0,,,0.18,
53,2024-12-21,Central,Clothing,Marketplace,7.0,271.18,1898.26,0.15,1613.521
54,2023-07-06,West,Electronics,Online,3.0,290.99,872.97,0.11,776.9433
55,2024-05-16,East,Clothing,Marketplace,4.0,671.34,2685.36,0.23,2067.7272000000003
56,2023-12-09,Central,Sports,Online,13.0,384.8,5002.400000000001,0.03,4852.328
57,2024-01-01,East,Beauty,Store,1.0,365.66,365.66,,
58,2024-03-05,East,Sports,Online,-1.0,483.04,-483.04,0.14,-415.4144
59,2024-01-14,Central,Sports,Marketplace,9.0,599.03,5391.2699999999995,0.2,4313.016
60,2023-08-30,North,Electronics,Store,4.0,654.36,2617.44,0.1,2355.696
61,2023-02-21,West,Beauty,Online,0.0,289.15,0.0,0.33,0.0
62,2024-09-15,Central,Electronics,Store,10.0,593.17,5931.7,0.13,5160.579
63,2023-05-16,West,Home,Store,6.0,145.3,871.8000000000001,0.23,671.2860000000001
64,2024-05-12,South,Home,Online,0.0,-1.27,-0.0,0.17,-0.0
65,2024-07-24,North,Clothing,Marketplace,4.0,152.27,609.08,0.28,438.5376
66,2023-10-13,South,Sports,Online,-2.0,498.62,-997.24,,
67,2023-03-05,East,Clothing,Marketplace,4.0,294.3,1177.2,0.16,988.848
68,2024-01-01,North,Beauty,Marketplace,1.0,267.79,267.79,0.15,227.6215
69,2024-11-24,South,Clothing,Marketplace,6.0,475.63,2853.7799999999997,0.2,2283.024
70,2023-10-10,North,Sports,Store,2.0,4.53,9.06,0.18,7.429200000000001
71,2024-06-24,East,Electronics,Online,3.0,536.27,1608.81,0.13,1399.6647
72,2024-09-07,South,Clothing,Marketplace,11.0,314.39,3458.29,0.01,3423.7071
73,2023-02-23,West,Home,Store,-1.0,64.55,-64.55,,
74,2023-05-13,North,Sports,Store,4.0,8.5,34.0,0.13,29.58
75,2023-04-20,North,Sports,Online,10.0,496.99,4969.9,0.27,3628.0269999999996
76,2024-10-05,North,Home,Store,0.0,258.8,0.0,0.16,0.0
77,2023-06-06,Central,Clothing,Store,,677.97,,0.06,
78,2023-09-20,East,Clothing,Online,-2.0,39.36,-78.72,0.26,-58.2528
79,2024-04-17,Central,Home,Store,7.0,680.1,4760.7,0.11,4237.023
80,2023-06-04,Central,Clothing,Marketplace,-2.0,412.4,-824.8,0.18,-676.336
81,2024-03-07,East,Beauty,Online,9.0,615.45,5539.05,0.13,4818.9735
82,2024-06-25,East,Home,Store,6.0,690.81,4144.86,0.31,2859.9533999999994
83,2024-08-24,West,Beauty,Marketplace,13.0,662.56,8613.279999999999,0.33,5770.897599999998
84,2023-08-15,South,Home,Store,10.0,145.82,1458.1999999999998,0.34,962.4119999999998
85,2024-07-17,North,Clothing,Marketplace,9.0,11.96,107.64000000000001,0.13,93.64680000000001
86,2023-02-04,Central,Home,Marketplace,10.0,612.65,6126.5,0.15,5207.525
87,2024-12-16,West,Clothing,Store,-2.0,693.02,-1386.04,0.09,-1261.2964
88,2024-08-14,South,Beauty,Marketplace,4.0,542.62,2170.48,0.09,1975.1368
89,2024-06-16,Central,Sports,Store,11.0,97.81,1075.91,0.09,979.0781000000001
90,2023-11-04,North,Home,Online,13.0,48.75,633.75,,
91,2023-11-23,West,Beauty,Marketplace,6.0,498.73,2992.38,0.11,2663.2182000000003
92,2024-07-08,South,Beauty,Marketplace,0.0,62.68,0.0,0.09,0.0
93,2024-02-05,South,Electronics,Online,14.0,626.38,8769.32,0.25,6576.99
94,2024-03-18,East,Sports,Store,6.0,402.95,2417.7,0.29,1716.5669999999998
95,2023-12-10,East,Home,Store,0.0,72.0,0.0,0.06,0.0
96,2024-09-21,South,Clothing,Online,12.0,,,0.3,
97,2023-03-08,North,Electronics,Online,-1.0,190.59,-190.59,0.34,-125.78939999999999
98,2023-12-10,West,Clothing,Store,,203.33,,0.33,
99,2023-03-23,South,Sports,Store,14.0,182.9,2560.6,0.34,1689.9959999999996
100,2024-08-14,East,Electronics,Store,,644.04,,0.07,
101,2023-02-23,South,Clothing,Marketplace,-1.0,439.93,-439.93,0.01,-435.5307
102,2024-04-09,East,Home,Online,3.0,574.86,1724.58,0.11,1534.8762
103,2024-03-13,East,Electronics,Online,9.0,503.46,4531.139999999999,0.0,4531.139999999999
104,2024-01-26,Central,Sports,Online,4.0,581.11,2324.44,0.3,1627.108
105,2024-02-15,West,Sports,Marketplace,2.0,,,0.13,
106,2023-07-09,North,Beauty,Marketplace,1.0,136.93,136.93,0.32,93.1124
107,2024-04-22,West,Clothing,Online,6.0,415.39,2492.34,0.1,2243.106
108,2023-03-04,South,Sports,Marketplace,,699.19,,0.31,
109,2024-05-28,South,Home,Store,13.0,80.13,1041.69,,
110,2024-07-14,East,Beauty,Marketplace,6.0,314.73,1888.38,0.3,1321.866
111,2023-01-20,North,Home,Online,9.0,662.49,5962.41,0.2,4769.928
112,2024-06-04,South,Home,Store,4.0,400.57,1602.28,0.1,1442.052
113,2024-01-18,East,Home,Online,-1.0,556.39,-556.39,0.34,-367.21739999999994
114,2023-07-13,North,Clothing,Store,11.0,343.57,3779.27,0.13,3287.9649
115,2024-12-07,East,Electronics,Store,1.0,290.36,290.36,0.15,246.806
116,2024-09-09,Central,Beauty,Marketplace,12.0,105.97,1271.6399999999999,0.18,1042.7448
117,2024-04-14,East,Electronics,Marketplace,-1.0,484.68,-484.68,0.12,-426.5184
118,2023-04-27,West,Clothing,Marketplace,9.0,-26.85,-241.65,0.02,-236.817
119,2023-12-20,,Clothing,Online,2.0,697.66,1395.32,0.34,920.9111999999999
120,2024-12-29,South,Beauty,Marketplace,5.0,599.13,2995.65,0.24,2276.694
121,2023-05-02,North,Home,Store,-2.0,676.99,-1353.98,0.22,-1056.1044
122,2024-11-25,East,Clothing,Online,12.0,263.42,3161.04,0.25,2370.7799999999997
123,2024-01-02,South,Electronics,Store,6.0,651.97,3911.82,0.1,3520.6380000000004
124,2024-08-02,North,Home,Marketplace,14.0,313.37,4387.18,0.3,3071.026
