order_id,order_date,region,category,sales_channel,quantity,unit_price,gross_sales,discount,net_sales,category_value,error_code,is_valid
2,2023-03-02,Central,Clothing,Marketplace,-1.0,8.56,-8.56,0.24,-6.5056,NON-RELIABLE,CRITICAL_ERROR,False
4,2023-07-05,South,Clothing,Marketplace,-1.0,548.79,-548.79,0.34,-362.2013999999999,NON-RELIABLE,CRITICAL_ERROR,False
5,2023-09-21,Central,Clothing,Online,-2.0,158.28,-316.56,0.08,-291.2352,NON-RELIABLE,CRITICAL_ERROR,False
11,2023-05-28,South,Beauty,Marketplace,-2.0,526.6,-1053.2,0.19,-853.0920000000001,NON-RELIABLE,CRITICAL_ERROR,False
15,2023-12-10,Central,Home,Marketplace,-1.0,,,0.18,,NON-RELIABLE,CRITICAL_ERROR,False
17,2023-01-21,West,Beauty,Store,-2.0,129.97,-259.94,0.05,-246.943,NON-RELIABLE,CRITICAL_ERROR,False
19,2023-04-01,North,Electronics,Marketplace,0.0,161.92,0.0,0.05,0.0,NON-RELIABLE,CRITICAL_ERROR,False
21,2023-02-13,South,Clothing,Online,-2.0,37.2,-74.4,0.29,-52.824,NON-RELIABLE,CRITICAL_ERROR,False
24,2023-11-20,Central,Clothing,Store,,505.96,,0.13,,NON-RELIABLE,CRITICAL_ERROR,False
27,2024-07-18,Central,Clothing,Store,,503.77,,0.34,,NON-RELIABLE,CRITICAL_ERROR,False
30,2024-06-06,South,Beauty,Store,,59.65,,0.09,,NON-RELIABLE,CRITICAL_ERROR,False
31,2024-03-18,North,Clothing,Marketplace,-2.0,435.96,-871.92,0.02,-854.4816,NON-RELIABLE,CRITICAL_ERROR,False
40,2023-04-23,,Sports,Store,3.0,-20.66,-61.98,0.24,-47.1048,NON-RELIABLE,CRITICAL_ERROR,False
44,2023-02-07,South,Clothing,Marketplace,-1.0,216.14,-216.14,0.26,-159.94359999999998,NON-RELIABLE,CRITICAL_ERROR,False
49,2024-10-20,South,Home,Marketplace,-1.0,360.97,-360.97,0.07,-335.70210000000003,NON-RELIABLE,CRITICAL_ERROR,False
51,2024-08-20,West,Home,Store,-1.0,558.89,-558.89,0.13,-486.2343,NON-RELIABLE,CRITICAL_ERROR,False
52,2024-03-02,North,Clothing,Marketplace,6.0,,,0.18,,NON-RELIABLE,CRITICAL_ERROR,False
58,2024-03-05,East,Sports,Online,-1.0,483.04,-483.04,0.14,-415.4144,NON-RELIABLE,CRITICAL_ERROR,False
61,2023-02-21,West,Beauty,Online,0.0,289.15,0.0,0.33,0.0,NON-RELIABLE,CRITICAL_ERROR,False
64,2024-05-12,South,Home,Online,0.0,-1.27,-0.0,0.17,-0.0,NON-RELIABLE,CRITICAL_ERROR,False
66,2023-10-13,South,Sports,Online,-2.0,498.62,-997.24,,,NON-RELIABLE,CRITICAL_ERROR,False
73,2023-02-23,West,Home,Store,-1.0,64.55,-64.55,,,NON-RELIABLE,CRITICAL_ERROR,False
76,2024-10-05,North,Home,Store,0.0,258.8,0.0,0.16,0.0,NON-RELIABLE,CRITICAL_ERROR,False
77,2023-06-06,Central,Clothing,Store,,677.97,,0.06,,NON-RELIABLE,CRITICAL_ERROR,False
78,2023-09-20,East,Clothing,Online,-2.0,39.36,-78.72,0.26,-58.2528,NON-RELIABLE,CRITICAL_ERROR,False
80,2023-06-04,Central,Clothing,Marketplace,-2.0,412.4,-824.8,0.18,-676.336,NON-RELIABLE,CRITICAL_ERROR,False
87,2024-12-16,West,Clothing,Store,-2.0,693.02,-1386.04,0.09,-1261.2964,NON-RELIABLE,CRITICAL_ERROR,False
92,2024-07-08,South,Beauty,Marketplace,0.0,62.68,0.0,0.09,0.0,NON-RELIABLE,CRITICAL_ERROR,False
