order_id,order_date,region,category,sales_channel,quantity,unit_price,gross_sales,discount,net_sales,category_value,error_code,is_valid,gross_sales_fixed,net_sales_fixed,diff_gross
1,2024-10-25,North,Clothing,Marketplace,13.0,499.98,6499.74,0.33,4354.8258,VALID,NONE,True,6499.74,4354.8258,0.0
3,2024-04-05,West,Clothing,Marketplace,7.0,646.65,4526.55,0.12,3983.364,VALID,NONE,True,4526.55,3983.364,0.0
6,2023-12-25,West,Beauty,Store,3.0,82.39,247.17,0.07,229.8681,VALID,NONE,True,247.17000000000002,229.8681,2.842170943040401e-14
7,2023-03-28,East,Electronics,Store,9.0,571.91,5147.19,0.32,3500.0891999999994,VALID,NONE,True,5147.19,3500.0891999999994,0.0
8,2023-05-10,North,Beauty,Online,9.0,334.91,3014.19,0.27,2200.3587,VALID,NONE,True,3014.19,2200.3586999999998,0.0
9,2023-02-18,North,Electronics,Store,13.0,35.19,457.47,0.34,301.9302,VALID,NONE,True,457.46999999999997,301.93019999999996,-5.684341886080802e-14
10,2023-05-23,Central,Sports,Marketplace,7.0,410.54,2873.78,0.29,2040.3838,VALID,NONE,True,2873.78,2040.3838,0.0
12,2024-06-26,North,Home,Marketplace,10.0,178.23,1782.3,0.15,1514.955,VALID,NONE,True,1782.3,1514.955,0.0
13,2024-07-02,East,Sports,Store,4.0,465.99,1863.96,0.15,1584.366,VALID,NONE,True,1863.96,1584.366,0.0
14,2023-05-06,West,Home,Store,1.0,331.13,331.13,0.24,251.6588,VALID,NONE,True,331.13,251.6588,0.0
16,2023-04-28,South,Beauty,Online,7.0,534.24,3739.68,0.0,3739.68,VALID,NONE,True,3739.6800000000003,3739.6800000000003,4.547473508864641e-13
18,2024-09-08,South,Sports,Online,9.0,145.56,1310.04,0.2,1048.032,VALID,NONE,True,1310.04,1048.032,0.0
20,2024-04-08,North,Beauty,Marketplace,6.0,6.47,38.82,0.09,35.3262,VALID,NONE,True,38.82,35.3262,0.0
22,2023-11-05,West,Home,Store,6.0,95.67,574.02,0.34,378.8532,VALID,NONE,True,574.02,378.85319999999996,0.0
25,2024-01-23,East,Home,Store,5.0,508.26,2541.3,0.18,2083.8660000000004,VALID,NONE,True,2541.3,2083.8660000000004,0.0
26,2024-11-20,East,Clothing,Store,4.0,618.18,2472.72,0.16,2077.0848,VALID,NONE,True,2472.72,2077.0847999999996,0.0
28,2024-04-01,East,Sports,Marketplace,12.0,401.29,4815.4800000000005,0.13,4189.4676,VALID,NONE,True,4815.4800000000005,4189.4676,0.0
29,2023-04-29,Central,Sports,Store,10.0,415.87,4158.7,0.34,2744.742,VALID,NONE,True,4158.7,2744.7419999999997,0.0
32,2024-09-28,North,Electronics,Marketplace,3.0,81.22,243.66,0.22,190.0548,VALID,NONE,True,243.66,190.0548,0.0
34,2024-10-11,South,Electronics,Online,11.0,448.27,4930.969999999999,0.04,4733.731199999999,VALID,NONE,True,4930.969999999999,4733.731199999999,0.0
35,2023-03-09,West,Home,Marketplace,12.0,446.05,5352.6,0.12,4710.2880000000005,VALID,NONE,True,5352.6,4710.2880000000005,0.0
36,2024-01-30,South,Sports,Marketplace,3.0,628.37,1885.11,0.03,1828.5567,VALID,NONE,True,1885.1100000000001,1828.5567,2.2737367544323206e-13
37,2024-12-25,Central,Beauty,Online,3.0,147.97,443.91,0.29,315.1761,VALID,NONE,True,443.90999999999997,315.17609999999996,-5.684341886080802e-14
38,2023-05-02,Central,Clothing,Marketplace,14.0,213.07,2982.98,0.28,2147.7456,VALID,NONE,True,2982.98,2147.7455999999997,0.0
39,2023-11-22,East,Clothing,Marketplace,6.0,481.83,2890.98,0.01,2862.0702,VALID,NONE,True,2890.98,2862.0702,0.0
41,2024-04-17,South,Home,Online,3.0,252.05,756.1500000000001,0.31,521.7435,VALID,NONE,True,756.1500000000001,521.7435,0.0
42,2024-08-08,South,Clothing,Store,9.0,85.1,765.9,0.24,582.084,VALID,NONE,True,765.9,582.084,0.0
43,2024-10-01,Central,Sports,Store,9.0,560.43,5043.87,0.12,4438.6056,VALID,NONE,True,5043.87,4438.6056,0.0
45,2024-02-11,West,Home,Marketplace,12.0,360.84,4330.08,0.08,3983.6736,VALID,NONE,True,4330.08,3983.6736,0.0
46,2024-09-07,Central,Home,Store,12.0,444.38,5332.56,0.01,5279.234399999999,VALID,NONE,True,5332.5599999999995,5279.234399999999,-9.094947017729282e-13
47,2024-05-03,Central,Clothing,Online,9.0,339.69,3057.21,0.24,2323.4796,VALID,NONE,True,3057.21,2323.4796,0.0
48,2023-09-17,Central,Beauty,Online,1.0,48.25,48.25,0.1,43.425,VALID,NONE,True,48.25,43.425000000000004,0.0
50,2024-06-19,Central,Beauty,Store,2.0,477.91,955.82,0.17,793.3306,VALID,NONE,True,955.82,793.3306,0.0
53,2024-12-21,Central,Clothing,Marketplace,7.0,271.18,1898.26,0.15,1613.521,VALID,NONE,True,1898.26,1613.521,0.0
54,2023-07-06,West,Electronics,Online,3.0,290.99,872.97,0.11,776.9433,VALID,NONE,True,872.97,776.9433,0.0
